# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Выполнить
$SSL_bDomMustOrgasmHighlight	Requires the dominant actor to orgasm before scene ends.\nThread is perpetuated by changing to similar animations till the dominant actor has orgasmed once.
# TODO: $SSL_bPlayerMustOrgasm
$SSL_bPlayerMustOrgasm	Player Must Orgasm
# TODO: $SSL_bPlayerMustOrgasmHighlight
$SSL_bPlayerMustOrgasmHighlight	Requires the player to orgasm before scene ends\nThread is perpetuated by changing to similar animations till the player has orgasmed once.
# TODO: $SSL_bHighEnjOrgasmWait
$SSL_bHighEnjOrgasmWait	High Enj Orgasm Wait
# TODO: $SSL_bHighEnjOrgasmWaitHighlight
$SSL_bHighEnjOrgasmWaitHighlight	Scene perpetuates if an actor's enjoyment is >75 or if the actor is in edging state regardless of orgasms count.\nThread is perpetuated by changing to similar animations till the actor with high enjoyment has orgasmed.
# TODO: $SSL_iMaxNoPainOrgasmMale
$SSL_iMaxNoPainOrgasmMale	Max NoPain Orgasms Male
# TODO: $SSL_iMaxNoPainOrgasmMaleHighlight
$SSL_iMaxNoPainOrgasmMaleHighlight	Determines the number of orgasms till which no pain penalty will be imposed on male actors. Once the orgasm counts goes higher than the limit here, each subsequent orgasm will inflict successively higher pain penalties.
# TODO: $SSL_iMaxNoPainOrgasmFemale
$SSL_iMaxNoPainOrgasmFemale	Max NoPain Orgasms Female
# TODO: $SSL_iMaxNoPainOrgasmFemaleHighlight
$SSL_iMaxNoPainOrgasmFemaleHighlight	Determines the number of orgasms till which no pain penalty will be imposed on female/futa actors. Once the orgasm counts goes higher than the limit here, each subsequent orgasm will inflict successively higher pain penalties.
# TODO: $SSL_iNoPainRequiredTime
$SSL_iNoPainRequiredTime	Pain Decay Time
# TODO: $SSL_iNoPainRequiredTimeHighlight
$SSL_iNoPainRequiredTimeHighlight	Time required in seconds for pain effects (e.g. from penetration for inexperienced actors) to decay during a scene. 
# TODO: $SSL_iNoPainRequiredXP
$SSL_iNoPainRequiredXP	Pain Avoidance XP
# TODO: $SSL_iNoPainRequiredXPHighlight
$SSL_iNoPainRequiredXPHighlight	Determines the Anal and Vaginal XP required to avoid pain effects from penetration interactions.

# ------ Misc Multipliers
# TODO: $SSL_fEnjMultVictim
$SSL_fEnjMultVictim	EnjRaise Mult: Victim
# TODO: $SSL_fEnjMultVictimHighlight
$SSL_fEnjMultVictimHighlight	Additional enjoyment raise multiplier for victim actors.\n(FYI: Victim state is defined by scene's context, not tags.)
# TODO: $SSL_fEnjMultAggressor
$SSL_fEnjMultAggressor	EnjRaise Mult: Aggressor
# TODO: $SSL_fEnjMultAggressorHighlight
$SSL_fEnjMultAggressorHighlight	Additional enjoyment raise multiplier for aggressor actors.\n(FYI: Aggressor state is defined by scene's context, not tags.)
# TODO: $SSL_fEnjMultSub
$SSL_fEnjMultSub	EnjRaise Mult: Submissive
# TODO: $SSL_fEnjMultSubHighlight
$SSL_fEnjMultSubHighlight	Additional enjoyment raise multiplier for submissive actors.\n(FYI: Submissive role is defined by SLSB's submissive flags, not tags.)
# TODO: $SSL_fEnjMultDom
$SSL_fEnjMultDom	EnjRaise Mult: Dominant
# TODO: $SSL_fEnjMultDomHighlight
$SSL_fEnjMultDomHighlight	Additional enjoyment raise multiplier for dominant/non-sub actors.\n(FYI: Dominant role is defined by SLSB's submissive flags, not tags.)
# TODO: $SSL_fPainHugePPMult
$SSL_fPainHugePPMult	Pain Mult: Huge PP
# TODO: $SSL_fPainHugePPMultHighlight
$SSL_fPainHugePPMultHighlight	Additional factor enhancing pain for actors having penetration interactions in receiving position with actors having large schlongs. Used during penetration by certain creatures only, for now.

# ------ Game Configs
# TODO: $SSL_iEnjGameStaminaCost
$SSL_iEnjGameStaminaCost	Game Stamina Cost
# TODO: $SSL_iEnjGameStaminaCostHighlight
$SSL_iEnjGameStaminaCostHighlight	The amount of STAMINA to be depleted upon a relevant minigame action.
# TODO: $SSL_iEnjGameMagickaCost
$SSL_iEnjGameMagickaCost	Game Magicka Cost
# TODO: $SSL_iEnjGameMagickaCostHighlight
$SSL_iEnjGameMagickaCostHighlight	The amount of MAGICKA to be depleted upon a relevant minigame action.
# TODO: $SSL_bGameRequiredOnHighEnj
$SSL_bGameRequiredOnHighEnj	Require Minigame on High Enj
# TODO: $SSL_bGameRequiredOnHighEnjHighlight
$SSL_bGameRequiredOnHighEnjHighlight	Toggles/disables player's enjoyment gain through collision detection when it goes above 80.\nWith this enabled, the player will have to actively rely on the minigame to reach orgasm.
# TODO: $SSL_bGameSpamDelayPenalty
$SSL_bGameSpamDelayPenalty	Minigame Spam/Delay Penalty
# TODO: $SSL_bGameSpamDelayPenaltyHighlight
$SSL_bGameSpamDelayPenaltyHighlight	Toggles enjoyment penalties along with stamina and magicka depletion for the player upon badly timed attempts at raising enjoyment. (IMP: This option only works when combined with the above option.)

# ------ Game Hotkeys
# TODO: $SSL_iGameRaiseEnjKey
$SSL_iGameRaiseEnjKey	RaiseEnj Key
# TODO: $SSL_iGameRaiseEnjKeyHighlight
$SSL_iGameRaiseEnjKeyHighlight	Hotkey to manually raise enjoyment at the cost of stamina. To raise self/player enjoyment, combine with utility key.\nOnce enjoyment reaches 90, this hotkey is used to maintain edge state, whereby timed clicks are required to avoid spam penalties.
# TODO: $SSL_iGameHoldbackKey
$SSL_iGameHoldbackKey	Holdback Key
# TODO: $SSL_iGameHoldbackKeyHighlight
$SSL_iGameHoldbackKeyHighlight	Hotkey to manually holdback/reduce enjoyment at the cost of magicka. To reduce self/player enjoyment, combine with utility key.

# ------------------ Expression Editor --------------------------------------------------
$SSL_ExpressionEditor	Редактор эмоций

$SSL_DialogueMood_0	Диалог Гнев
$SSL_DialogueMood_1	Диалог Страх
$SSL_DialogueMood_2	Диалог Счастье
$SSL_DialogueMood_3	Диалог Грусть
$SSL_DialogueMood_4	Диалог Удивление
$SSL_DialogueMood_5	Диалог Озадаченный
$SSL_DialogueMood_6	Диалог Отвращение
$SSL_DialogueMood_7	Настроение Нейтрально
$SSL_DialogueMood_8	Настроение Гнев
$SSL_DialogueMood_9	Настроение Страх
$SSL_DialogueMood_10	Настроение Счастье
$SSL_DialogueMood_11	Настроение Грусть
$SSL_DialogueMood_12	Настроение Удивление
$SSL_DialogueMood_13	Настроение Озадаченный
$SSL_DialogueMood_14	Настроение Отвращение
$SSL_DialogueMood_15	Бой Гнев
$SSL_DialogueMood_16	Бой Крик

$SSL_Phoneme_0	0: Aah
$SSL_Phoneme_1	1: BigAah
$SSL_Phoneme_2	2: BMP
$SSL_Phoneme_3	3: ChjSh
$SSL_Phoneme_4	4: DST
$SSL_Phoneme_5	5: Eee
$SSL_Phoneme_6	6: Eh
$SSL_Phoneme_7	7: FV
$SSL_Phoneme_8	8: i
$SSL_Phoneme_9	9: k
$SSL_Phoneme_10	10: N
$SSL_Phoneme_11	11: Oh
$SSL_Phoneme_12	12: OohQ
$SSL_Phoneme_13	13: R
$SSL_Phoneme_14	14: Th
$SSL_Phoneme_15	15: W

$SSL_Modifier_0	0: BlinkL
$SSL_Modifier_1	1: BlinkR
$SSL_Modifier_2	2: BrowDownL
$SSL_Modifier_3	3: BrownDownR
$SSL_Modifier_4	4: BrowInL
$SSL_Modifier_5	5: BrowInR
$SSL_Modifier_6	6: BrowUpL
$SSL_Modifier_7	7: BrowUpR
$SSL_Modifier_8	8: LookDown
$SSL_Modifier_9	9: LookLeft
$SSL_Modifier_10	10: LookRight
$SSL_Modifier_11	11: LookUp
$SSL_Modifier_12	12: SquintL
$SSL_Modifier_13	13: SquintR

$SSL_ScaleMode_Linear	Линейный
$SSL_ScaleMode_Square	Квадратичный
$SSL_ScaleMode_Cubic	Кубический
$SSL_ScaleMode_Exponential	Экспоненциальный

$SSL_ModifyingExpression	Модификаторы Эмоций
# TODO: $SSL_enableexpressionHighlight
$SSL_enableexpressionHighlight	Enable or disable the expression being modified currently
$SSL_ExpressionScaling	Алгоритм масштабирования
$SSL_ExpressionsNormal	Доступно в нормальных сценах
$SSL_ExpressionsVictim	Доступно как жертве
$SSL_ExpressionsAggressor	Доступно как агрессору
# TODO: $SSL_ExpressionScalingHighlight
$SSL_ExpressionScalingHighlight	Scaling behavior to map expression progress to scene enjoyment.\nLinear: Steady and even increase\nSquared: Fast initial increase, slow mid section, second spike as orgasm approaches\nCubic: Slow start, gradual ramp up as orgasm approaches\nExponential: Very slow start, rapid growth as orgasm approaches
$SSL_EditFemale	Редактировать данные женщин
$SSL_TestOnPlayer	Тестировать на игроке

$SSL_WarnTestExpression{}	Тестируем выбранную эмоцию на {}. Продолжить?
$SSL_WarnTestExpressionLowOrHight	Тестировать минимальные(слева) или максимальные(справа) вариации профиля текущей эмоции?
$SSL_WarnTestExpressionWithOpenMouth	Протестировать текущую эмоцию с открытым ртом?
$SSL_StartTestExpression{}	Тестируем эмоцию {}. Значения сбросятся через 15 секунд.\nЗакройте меню чтобы продолжить...
$SSL_AppliedTestExpression	Эмоция применена, сброс через 15 секунд...
$SSL_RestoredTestExpression	Эмоции сброшены.

$SSL_EditExpressions_0	Данные Эмоций (минимум)
$SSL_EditExpressions_1	Данные эмоций (максимум)
$SSL_MoodType	Тип настроения
$SSL_MoodStrength	Сила настроения
$SSL_Phoneme	Фонемы
$SSL_Modifier	Модификаторы

$SSL_PrevPhase	<< Предыдущая фаза
$SSL_NextPhase	Следующая фаза >>

# ------ Sync lips config
$SSL_SyncLipsConfig	Конфигурация синхронизации губ

$SSL_Sync	Синхронно
$SSL_Async	Несинхронно
$SSL_LipsSoundTime	Поведение при синхронизации губ
# TODO: $SSL_LipsSoundTimeHighlight
$SSL_LipsSoundTimeHighlight	Sync: Lips begin closing when the moan has finished playing. \nAsync: Lips close after a short delay, independent of sound state.
# TODO: $SSL_bLipsFixedValue
$SSL_bLipsFixedValue	Lips Fixed Value
# TODO: $SSL_bLipsFixedValueHighlight
$SSL_bLipsFixedValueHighlight	If lip sync intensity should increase as enjoyment increases.

# ------------------ Strip Item Editor --------------------------------------------------
$SSL_StripEditor	Редактор раздевания

$SSL_Equipment{}	Снаряжение {}
$SSL_FullInventory	Показать весь инвентарь персонажа
# TODO: $SSL_FullInventoryHighlight
$SSL_FullInventoryHighlight	Allows all items in actor's inventory to show up for strip behavior editing
$SSL_AlwaysRemove	Всегда удалять
$SSL_NeverRemove	Никогда не удалять
$SSL_StripItemSlots{}	Снять вещи из слотов: {}


# ------------------ Rebuild & Clean --------------------------------------------------
$SSL_RebuildClean	Дебаг
$SSL_Installation	Установка

# TODO: $SSL_bDebugMode
$SSL_bDebugMode	Debug Mode
# TODO: $SSL_bDebugModeHighlight
$SSL_bDebugModeHighlight	Enable extra logs for thread and scene info.\nThis can slow down the framework but may help troubleshooting issues.
$SSL_StopCurrentAnimations	Остановить текущую анимацию
# TODO: $SSL_StopCurrentAnimationsHighlight
$SSL_StopCurrentAnimationsHighlight	Stops all active SexLab threads, regardless of player involvement
$SSL_StopRunningAnimations	Все запущенные анимации остановлены.
$SSL_ResetStripOverrides	Сброс опций редактора раздевания
# TODO: $SSL_ResetStripOverridesHighlight
$SSL_ResetStripOverridesHighlight	Resets all custom strip settings set by the user
$SSL_CleanSystem	Реинициализировать SexLab
# TODO: $SSL_CleanSystemHighlight
$SSL_CleanSystemHighlight	Reinstalls SexLab; not recommended!
$SSL_WarnCleanSystem	Процедура очистки сбросит все внутренние настройки SexLab до первоначальных значений, остановит все запущенные анимации и остановит выполнение скриптов. Вы действительно хотите продолжить?
$SSL_Resetting	Сброс...
$SSL_CurrentlyInstalling	Инициализация SexLab...
$SSL_ForceRegisterVoices	Сохранить настройки голосов
$SSL_ForceRegisterVoicesHighlight	Принудительно сохраняет настройки голосов персонажа и NPC. Это так же происходит автоматически при переходе в другую локацию.

$RegistryInfo	Статус реестра
$SSL_Animations	Анимации
$SSL_Voices	Голоса
$SSL_Expressions	Эмоции

# ------ Available Strap-ons
$SSL_AvailableStrapons	Доступные страпоны
$SSL_RebuildStraponList	Переустановить страпоны
# TODO: $SSL_RebuildStraponListHighlight
$SSL_RebuildStraponListHighlight	Updates the strap-ons list accessible to the framework
$SSL_FoundStrapon	Обнаружены поддерживаемые страпоны. Установка завершена.
$SSL_NoStrapons	Поддерживаемых страпонов не найдено. Установка отменена.
# TODO: $SSL_toggleStraponHighlight
$SSL_toggleStraponHighlight	Click to disable the use of this strap-on by SexLab


# ------------------ Legacy --------------------------------------------------
$SSL_Neutral	Нейтральный
$SSL_Unsullied	Незапятнанный
$SSL_CleanCut	Безупречный
$SSL_PrimProper	Благопристойный
$SSL_Virtuous	Добродетельный
$SSL_EverFaithful	Верный
$SSL_Ladylike	Женственный
$SSL_Lordly	Благородный
$SSL_Saintly	Праведный
$SSL_Experimenting	Экспериментирующий
$SSL_UnusuallyHorny	Перевозбуждённый
$SSL_Promiscuous	Неразборчивый
$SSL_SexualDeviant	Девиантное поведение
$SSL_Debaucherous	Распущенный
$SSL_Nymphomaniac	Нимфомания
$SSL_Depraved	Развратность
$SSL_Hypersexual	Гиперсексуальность
